0522+33   QZ AUR    
0523+11A  GW ORI    
0523+72   RR CAM    
0524+34   OT AUR    
0524+38   V428 AUR  
0524-01   CI ORI    
0524-03   V1159 ORI 
0524-04A  S ORI     
0524-04B  NSV 2014  
0524-04C  VAR? SE   
0524-04D  94 COMP SE
0525+04   CK ORI    
0525+04B  65 COMP SW
0525+09   V650 ORI  
0525+10   V451 ORI  
0525+12A  HI ORI    
0525+12B  HK ORI    
0525+18   DV TAU    
0525+30   T AUR     
0525-32   TV COL    
0526+03   33 ORI    
0526+05   BD 05 948 
0526+07   BK ORI    
0526+07B  88 COMP E 
0526+07C  99 VAR? N 
0526+09   V998 ORI  
0526+11   NSV 2079  
0526+18   CE TAU    
0526+36   V363 AUR  
0526+36B  VAR? S    
0526-00   DELTA ORI 
0526-03   NSV 2075  
0527+07   RT ORI    
0527+34   EH AUR    
0527-02   RY ORI    
0527-66   V2724 LMC 
0527-70   N LMC 95  
0527-71   W MEN     
0528+01   V371 ORI  
0528+25   AD TAU    
0528-04   HV ORI    
0528-05   OR NEB GP1
0528-69   HD 269582 
0529+08   NSV 2258  
0529+24   CQ TAU    
0529-05   OR NEB GP2
0530+26   NSV 2426  
0530+39   AV AUR    
0530+68   S CAM     
0530+68B  NSV 2544  
0530+68C  84 COMP NE
0530+68D  95 COMP W 
0530-04   OR NEB GP3
0530-05   OR NEB GP4
0530-05A  T ORI     
0530-05B  90 COMP NE
0530-05C  127 COMP N
0530-05D  116 COMP S
0530-09   V653 ORI  
0531+06   BN ORI    
0531+21   ZETA TAU  
0531+69   SN 1998EB 
0531-02   PQ ORI    
0531-05   OR NEB GP5
0531-06G  BD ORI    
0531-06K  PR ORI    
0531-06L  V380 ORI  
0531-25   SZ LEP    
0531-30   RV COL    
0532+26   V725 TAU  
0532-01   X ORI     
0532-05   OR NEB GP6
0532-06   OR NEB GP8
0532-06A  BE ORI    
0532-06B  BF ORI    
0532-06D  V586 ORI  
0532-55   Z PIC     
0532-62   BETA DOR  
0532-68   HD 269700 
0533+04   OMEGA ORI 
0533+16   NSV 2501  
0533+26   RR TAU    
0533+26D  VAR? SW   
0533+28   AW AUR    
0533+29   HH AUR    
